rule,premise,evolution,conclusion
R8,generation-1,1,generation-1/evolution-1
R9,generation-1,2,generation-1/evolution-2
R10,generation-1,3,generation-1/evolution-3
R11,generation-2,1,generation-2/evolution-1
R12,generation-2,2,generation-2/evolution-2
R13,generation-2,3,generation-2/evolution-3
R14,generation-3,1,generation-3/evolution-1
R15,generation-3,2,generation-3/evolution-2
R16,generation-3,3,generation-3/evolution-3
R17,generation-4,1,generation-4/evolution-1
R18,generation-4,2,generation-4/evolution-2
R19,generation-4,3,generation-4/evolution-3
R20,generation-5,1,generation-5/evolution-1
R21,generation-5,2,generation-5/evolution-2
R22,generation-5,3,generation-5/evolution-3
R23,generation-6,1,generation-6/evolution-1
R24,generation-6,2,generation-6/evolution-2
R25,generation-6,3,generation-6/evolution-3
R26,generation-7,1,generation-7/evolution-1
R27,generation-7,2,generation-7/evolution-2
R28,generation-7,3,generation-7/evolution-3
