rule,premise,is_tall,conclusion
R872,generation-1/evolution-1/type1-grass/type2-poison,non,generation-1/evolution-1/type1-grass/type2-poison/is_tall-non
R873,generation-1/evolution-2/type1-grass/type2-poison,oui,generation-1/evolution-2/type1-grass/type2-poison/is_tall-oui
R874,generation-1/evolution-3/type1-grass/type2-poison,oui,generation-1/evolution-3/type1-grass/type2-poison/is_tall-oui
R875,generation-1/evolution-1/type1-fire/type2-aucun,non,generation-1/evolution-1/type1-fire/type2-aucun/is_tall-non
R876,generation-1/evolution-2/type1-fire/type2-aucun,oui,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-oui
R877,generation-1/evolution-3/type1-fire/type2-flying,oui,generation-1/evolution-3/type1-fire/type2-flying/is_tall-oui
R878,generation-1/evolution-1/type1-water/type2-aucun,non,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non
R879,generation-1/evolution-2/type1-water/type2-aucun,oui,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui
R880,generation-1/evolution-3/type1-water/type2-aucun,oui,generation-1/evolution-3/type1-water/type2-aucun/is_tall-oui
R881,generation-1/evolution-1/type1-bug/type2-aucun,non,generation-1/evolution-1/type1-bug/type2-aucun/is_tall-non
R882,generation-1/evolution-2/type1-bug/type2-aucun,non,generation-1/evolution-2/type1-bug/type2-aucun/is_tall-non
R883,generation-1/evolution-3/type1-bug/type2-flying,oui,generation-1/evolution-3/type1-bug/type2-flying/is_tall-oui
R884,generation-1/evolution-1/type1-bug/type2-poison,non,generation-1/evolution-1/type1-bug/type2-poison/is_tall-non
R885,generation-1/evolution-2/type1-bug/type2-poison,non,generation-1/evolution-2/type1-bug/type2-poison/is_tall-non
R886,generation-1/evolution-3/type1-bug/type2-poison,oui,generation-1/evolution-3/type1-bug/type2-poison/is_tall-oui
R887,generation-1/evolution-1/type1-normal/type2-flying,non,generation-1/evolution-1/type1-normal/type2-flying/is_tall-non
R888,generation-1/evolution-2/type1-normal/type2-flying,oui,generation-1/evolution-2/type1-normal/type2-flying/is_tall-oui
R889,generation-1/evolution-3/type1-normal/type2-flying,oui,generation-1/evolution-3/type1-normal/type2-flying/is_tall-oui
R890,generation-1/evolution-1/type1-normal/type2-dark,non,generation-1/evolution-1/type1-normal/type2-dark/is_tall-non
R891,generation-1/evolution-2/type1-normal/type2-dark,non,generation-1/evolution-2/type1-normal/type2-dark/is_tall-non
R892,generation-1/evolution-1/type1-poison/type2-aucun,oui,generation-1/evolution-1/type1-poison/type2-aucun/is_tall-oui
R893,generation-1/evolution-2/type1-poison/type2-aucun,oui,generation-1/evolution-2/type1-poison/type2-aucun/is_tall-oui
R894,generation-1/evolution-2/type1-electric/type2-aucun,non,generation-1/evolution-2/type1-electric/type2-aucun/is_tall-non
