rule,premise,is_legendary,conclusion
R1493,generation-1/evolution-1/type1-grass/type2-poison/isTall-False,0,generation-1/evolution-1/type1-grass/type2-poison/isTall-False/is_legendary-0
R1494,generation-1/evolution-2/type1-grass/type2-poison/isTall-True,0,generation-1/evolution-2/type1-grass/type2-poison/isTall-True/is_legendary-0
R1495,generation-1/evolution-3/type1-grass/type2-poison/isTall-True,0,generation-1/evolution-3/type1-grass/type2-poison/isTall-True/is_legendary-0
R1496,generation-1/evolution-1/type1-fire/type2-nan/isTall-False,0,generation-1/evolution-1/type1-fire/type2-nan/isTall-False/is_legendary-0
R1497,generation-1/evolution-2/type1-fire/type2-nan/isTall-True,0,generation-1/evolution-2/type1-fire/type2-nan/isTall-True/is_legendary-0
R1498,generation-1/evolution-3/type1-fire/type2-flying/isTall-True,0,generation-1/evolution-3/type1-fire/type2-flying/isTall-True/is_legendary-0
R1499,generation-1/evolution-1/type1-water/type2-nan/isTall-False,0,generation-1/evolution-1/type1-water/type2-nan/isTall-False/is_legendary-0
R1500,generation-1/evolution-2/type1-water/type2-nan/isTall-True,0,generation-1/evolution-2/type1-water/type2-nan/isTall-True/is_legendary-0
R1501,generation-1/evolution-3/type1-water/type2-nan/isTall-True,0,generation-1/evolution-3/type1-water/type2-nan/isTall-True/is_legendary-0
R1502,generation-1/evolution-1/type1-bug/type2-nan/isTall-False,0,generation-1/evolution-1/type1-bug/type2-nan/isTall-False/is_legendary-0
R1503,generation-1/evolution-2/type1-bug/type2-nan/isTall-False,0,generation-1/evolution-2/type1-bug/type2-nan/isTall-False/is_legendary-0
R1504,generation-1/evolution-3/type1-bug/type2-flying/isTall-True,0,generation-1/evolution-3/type1-bug/type2-flying/isTall-True/is_legendary-0
R1505,generation-1/evolution-1/type1-bug/type2-poison/isTall-False,0,generation-1/evolution-1/type1-bug/type2-poison/isTall-False/is_legendary-0
