rule,premise,classfication,conclusion
R2122,generation-1/evolution-1/type1-grass/type2-poison/is_tall-non/is_legendary-non,seed,Bulbasaur
R2123,generation-1/evolution-2/type1-grass/type2-poison/is_tall-oui/is_legendary-non,seed,Ivysaur
R2124,generation-1/evolution-3/type1-grass/type2-poison/is_tall-oui/is_legendary-non,seed,Venusaur
R2125,generation-1/evolution-1/type1-fire/type2-aucun/is_tall-non/is_legendary-non,lizard,Charmander
R2126,generation-1/evolution-2/type1-fire/type2-aucun/is_tall-oui/is_legendary-non,flame,Charmeleon
R2127,generation-1/evolution-3/type1-fire/type2-flying/is_tall-oui/is_legendary-non,flame,Charizard
R2128,generation-1/evolution-1/type1-water/type2-aucun/is_tall-non/is_legendary-non,tiny turtle,Squirtle
R2129,generation-1/evolution-2/type1-water/type2-aucun/is_tall-oui/is_legendary-non,turtle,Wartortle
R2130,generation-1/evolution-3/type1-water/type2-aucun/is_tall-oui/is_legendary-non,shellfish,Blastoise
R2131,generation-1/evolution-1/type1-bug/type2-aucun/is_tall-non/is_legendary-non,worm,Caterpie
R2132,generation-1/evolution-2/type1-bug/type2-aucun/is_tall-non/is_legendary-non,cocoon,Metapod
R2133,generation-1/evolution-3/type1-bug/type2-flying/is_tall-oui/is_legendary-non,butterfly,Butterfree
R2134,generation-1/evolution-1/type1-bug/type2-poison/is_tall-non/is_legendary-non,hairy,Weedle
R2135,generation-1/evolution-2/type1-bug/type2-poison/is_tall-non/is_legendary-non,cocoon,Kakuna
R2136,generation-1/evolution-3/type1-bug/type2-poison/is_tall-oui/is_legendary-non,poison bee,Beedrill
R2137,generation-1/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,tiny bird,Pidgey
R2138,generation-1/evolution-2/type1-normal/type2-flying/is_tall-oui/is_legendary-non,bird,Pidgeotto
R2139,generation-1/evolution-3/type1-normal/type2-flying/is_tall-oui/is_legendary-non,bird,Pidgeot
R2140,generation-1/evolution-1/type1-normal/type2-dark/is_tall-non/is_legendary-non,mouse,Rattata
R2141,generation-1/evolution-2/type1-normal/type2-dark/is_tall-non/is_legendary-non,mouse,Raticate
R2142,generation-1/evolution-1/type1-normal/type2-flying/is_tall-non/is_legendary-non,tiny bird,Spearow
R2143,generation-1/evolution-2/type1-normal/type2-flying/is_tall-oui/is_legendary-non,beak,Fearow
R2144,generation-1/evolution-1/type1-poison/type2-aucun/is_tall-oui/is_legendary-non,snake,Ekans
R2145,generation-1/evolution-2/type1-poison/type2-aucun/is_tall-oui/is_legendary-non,cobra,Arbok
